proposed_use,existing_construction_type,status_date,proposed_units,proposed_construction_type,permit_number,description,revised_cost,street_name,supervisor_district,street_suffix,lot,filed_date,plansets,block,number_of_existing_stories,number_of_proposed_stories,neighborhoods_analysis_boundaries,permit_type_definition,permit_type,permit_creation_date,zipcode,record_id,proposed_construction_type_description,estimated_cost,street_number,existing_use,existing_units,location,status,existing_construction_type_description
2 family dwelling,5,2021-06-28T00:00:00.000,2,5,202106222920,reroofing,8300,Chestnut,2,St,017,2021-06-22T00:00:00.000,0,0481,3,3,Marina,otc alterations permit,8,2021-06-22T00:00:00.000,94123,161926571576,wood frame (5),8300,1558,2 family dwelling,2,"{coordinates:[-122.42905059106056,37.80201838793848],type:Point}",complete,wood frame (5)
apartments,5,2021-06-22T00:00:00.000,6,5,202106222982,rehabilitate (e) kitchen(1) and bathroom (1). comply with nov#202174565 no wall changes no plans required per inspector,35000,Oak,5,St,028,2021-06-22T00:00:00.000,0,0842,3,3,Hayes Valley,otc alterations permit,8,2021-06-22T00:00:00.000,94117,161934482845,wood frame (5),35000,633,apartments,6,"{coordinates:[-122.4297057408314,37.77382483740974],type:Point}",issued,wood frame (5)
apartments,5,2021-06-22T00:00:00.000,6,5,202106222926,"common area: r&r approx.200 sq ft of dry rotted ship-lap woodsiding & underlying bldg paper.install new caulking & sheet metal flashing.prime & paint.on rear of bldg,not visible from street,provide wall insulation whenever wall cavity is exposed for wall separating conditioned & unconditioned spaces",18000,Presidio,2,Av,029,2021-06-22T00:00:00.000,0,1007,3,3,Presidio Heights,otc alterations permit,8,2021-06-22T00:00:00.000,94115,161927686912,wood frame (5),18000,322,apartments,6,"{coordinates:[-122.44679693180265,37.78879502960119],type:Point}",issued,wood frame (5)
1 family dwelling,2,2021-06-22T00:00:00.000,1,2,202106222961,"replace front/back facade windows, remodel (3) bathrooms, add media room, mud room, storage room on 1/f, add (3) skylights), (2) light tubes, replace deck, install new lighting/plumbing, repair dry rot, all within (e) footprint",0,Hamerton,8,Av,002,2021-06-22T00:00:00.000,0,6760,5,5,West of Twin Peaks,otc alterations permit,8,2021-06-22T00:00:00.000,94131,1619316212328,constr type 2,50000,118,1 family dwelling,1,"{coordinates:[-122.43792164279965,37.73385203418669],type:Point}",filed,constr type 2
2 family dwelling,,2021-06-22T00:00:00.000,,,202106222998,re-roofing: remove and replace roofing material / existing roofing material (in-kind),14900,39th,1,Av,002,2021-06-22T00:00:00.000,0,1605,,,Outer Richmond,otc alterations permit,8,2021-06-22T00:00:00.000,94121,1619359106401,,14900,745,2 family dwelling,,"{coordinates:[-122.49971688965077,37.77469547520404],type:Point}",issued,
2 family dwelling,5,2021-06-22T00:00:00.000,1,5,202106222922,to renewal expired building permit. commencement of work not started previously approved permit application no: 201506179226.,0,23rd,4,Av,018,2021-06-22T00:00:00.000,0,2473,3,3,Sunset/Parkside,otc alterations permit,8,2021-06-22T00:00:00.000,94116,1619269137428,wood frame (5),1,2689,2 family dwelling,1,"{coordinates:[-122.47988332415407,37.737490842077875],type:Point}",filed,wood frame (5)
,,2021-06-22T00:00:00.000,0,,202106222980,demo existing fire alarm devices within bank 1-11 space and re-install full heat detector add hvac duct smoke detection monitoring & hvac shutdown and audio/visual coverage once transformer is installed.,0,Folsom,6,St,001,2021-06-22T00:00:00.000,2,3748,3,3,Financial District/South Beach,otc alterations permit,8,2021-06-22T00:00:00.000,94105,1619336388386,,161080,405,,0,"{coordinates:[-122.39358459806066,37.78762726346165],type:Point}",filed,
2 family dwelling,5,2021-06-24T00:00:00.000,2,5,202106222972,revise unit legallization permit app#201808318945 to remove sprinkler requirement. because there is no change in occupancy. no other revision.,1,35th,4,Av,029,2021-06-22T00:00:00.000,2,1880,2,2,Sunset/Parkside,otc alterations permit,8,2021-06-22T00:00:00.000,94122,1619521118596,wood frame (5),1,1574,1 family dwelling,1,"{coordinates:[-122.49358561779778,37.75774751127017],type:Point}",issued,wood frame (5)
office,1,2021-06-22T00:00:00.000,,1,202106222951,"2/f & 3/f:  revision to bpa#202103297425, removal of operable partition & associated structural supports @ training room, minor revisions to partition/millwork layout, door types, lighting & occupancy",0,Bush,3,St,028,2021-06-22T00:00:00.000,2,0269,19,19,Financial District/South Beach,otc alterations permit,8,2021-06-22T00:00:00.000,94108,1619305495350,constr type 1,1,350,office,,"{coordinates:[-122.40328936179317,37.79133065158153],type:Point}",filed,constr type 1
2 family dwelling,5,2021-06-28T00:00:00.000,2,5,202106222920,reroofing,8300,Chestnut,2,St,017,2021-06-22T00:00:00.000,0,0481,3,3,Marina,otc alterations permit,8,2021-06-22T00:00:00.000,94123,1619266463287,wood frame (5),8300,1560,2 family dwelling,2,"{coordinates:[-122.42905059106056,37.80201838793848],type:Point}",complete,wood frame (5)
2 family dwelling,5,2021-06-22T00:00:00.000,2,5,202106222921,comply with physical inspection report #cc8322,12000,30th,8,St,011,2021-06-22T00:00:00.000,0,6637,2,2,Noe Valley,otc alterations permit,8,2021-06-22T00:00:00.000,94131,1619268382392,wood frame (5),12000,246,2 family dwelling,2,"{coordinates:[-122.42535519985987,37.742413317442896],type:Point}",issued,wood frame (5)
office,1,2021-06-22T00:00:00.000,,1,202106222985,3rd flr - hvac modifications to support interior tenant improvements. ref: 2021-0204-4009.,0,California,3,St,021,2021-06-22T00:00:00.000,2,0262,17,17,Financial District/South Beach,otc alterations permit,8,2021-06-22T00:00:00.000,94111,161934166080,constr type 1,45000,201,office,,"{coordinates:[-122.39904653170044,37.793007780592596],type:Point}",filed,constr type 1
apartments,,2021-06-22T00:00:00.000,3,,202106222952,"replacement of existing 1-story garage with 4-story, 3 bedroom adu at front of lot using local adu program. two existing units at rear to remain.",,45th,4,Av,004,2021-06-22T00:00:00.000,1,1705,,,Sunset/Parkside,additions alterations or repairs,3,2021-06-22T00:00:00.000,94122,1619306110802,,300000,1229,2 family dwelling,2,"{coordinates:[-122.50540799208471,37.76362784428554],type:Point}",filed,
1 family dwelling,5,2021-06-30T00:00:00.000,1,5,202106222984,"new 6'6 wood fence at rear property line, (n) wood siding over (e)6'6 wood fence at rear garden side property lines.",25000,Jackson,2,St,006B,2021-06-22T00:00:00.000,2,0967,3,3,Presidio Heights,otc alterations permit,8,2021-06-22T00:00:00.000,94118,161934085526,wood frame (5),25000,3858,1 family dwelling,1,"{coordinates:[-122.45855855153165,37.78961560425478],type:Point}",suspend,wood frame (5)
apartments,5,2021-06-22T00:00:00.000,6,5,202106222926,"common area: r&r approx.200 sq ft of dry rotted ship-lap woodsiding & underlying bldg paper.install new caulking & sheet metal flashing.prime & paint.on rear of bldg,not visible from street,provide wall insulation whenever wall cavity is exposed for wall separating conditioned & unconditioned spaces",18000,Presidio,2,Av,028,2021-06-22T00:00:00.000,0,1007,3,3,Presidio Heights,otc alterations permit,8,2021-06-22T00:00:00.000,94115,161927586911,wood frame (5),18000,322,apartments,6,"{coordinates:[-122.44679693180265,37.78879502960119],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-22T00:00:00.000,1,5,202106222933,"3/f: 61sf bathroom remodel in kind. no layout changes. no structural or changes to walls or openings. new tub/shower, new toilet, new vanity, all new fixtures and finishes, floor and wall tile.",16000,12th,1,Av,015F,2021-06-22T00:00:00.000,0,1554,3,3,Inner Richmond,otc alterations permit,8,2021-06-22T00:00:00.000,94118,1619286104160,wood frame (5),16000,564,1 family dwelling,1,"{coordinates:[-122.4701600048283,37.77771867643179],type:Point}",issued,wood frame (5)
apartments,5,2021-06-22T00:00:00.000,6,5,202106222905,"replace one wood window with one set 49 x 66 cottage style bent double hung sashes. clear insulated low - e glass - douglass fir - primed. installed extra weights, new ropes, parting bead, og stop. w/s solid brass hardware. same opening visible from street same style m<3.0",10830,Pierce,,St,017,2021-06-22T00:00:00.000,0,0861,3,3,,otc alterations permit,8,2021-06-22T00:00:00.000,94117,1619248262237,wood frame (5),10830,104,apartments,6,,issued,wood frame (5)
apartments,5,2021-06-22T00:00:00.000,3,5,202106222931,"(1) kitchen remodel like-to-like, upgrade subpanel, replace light fixture w/fan in living room",42000,Shrader,5,St,049,2021-06-22T00:00:00.000,0,1282,3,3,Haight Ashbury,otc alterations permit,8,2021-06-22T00:00:00.000,94117,1619284503722,wood frame (5),42000,1225,apartments,3,"{coordinates:[-122.45126080595112,37.76341802622011],type:Point}",issued,wood frame (5)
apartments,5,2021-06-22T00:00:00.000,7,5,202106222915,within 4 units: replacing 40 wood double hung windows w/ the n marvin wood double hung windows. replacing 4 wood fixed windows w/ n wood fixed windows.all visible from street. the new windows will be w/ integrated oogee lugs as required by the city.the design & material of windows will be same m<0.3,19000,Hugo,5,St,022,2021-06-22T00:00:00.000,0,1755,3,3,Inner Sunset,otc alterations permit,8,2021-06-22T00:00:00.000,94122,1619261268346,wood frame (5),19000,545,apartments,7,"{coordinates:[-122.46394153508226,37.76492088778731],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-22T00:00:00.000,1,5,202106222934,"3/f: 50sf bathroom remodel. no structural, no changes to openings. new tub/shower, new toilet, new double vanity, all new fixtures and finishes.",14500,Everson,8,St,127,2021-06-22T00:00:00.000,0,7544,3,3,Glen Park,otc alterations permit,8,2021-06-22T00:00:00.000,94131,1619288228273,wood frame (5),14500,158,1 family dwelling,1,"{coordinates:[-122.43267903021142,37.739177464075595],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-22T00:00:00.000,1,5,202106222974,revision to correct sprinker coverage to nfpa 13r. ref 202106031588,1,Washington,2,St,025,2021-06-22T00:00:00.000,2,0996,3,3,Presidio Heights,otc alterations permit,8,2021-06-22T00:00:00.000,94118,161933086424,wood frame (5),1,3455,1 family dwelling,1,"{coordinates:[-122.44985344869096,37.78935084420981],type:Point}",issued,wood frame (5)
2 family dwelling,5,2021-07-02T00:00:00.000,2,5,202106222981,comply w/ nov# 202174425. 2nd floor - remodel kitchen and bath. add one (n) bathm change pantry room to office room.,80888,Sadowa,11,St,038A,2021-06-22T00:00:00.000,2,7138,3,3,Oceanview/Merced/Ingleside,otc alterations permit,8,2021-06-22T00:00:00.000,94112,1619337222919,wood frame (5),80000,159,2 family dwelling,2,"{coordinates:[-122.45783084733142,37.71204821430474],type:Point}",issued,wood frame (5)
church,5,2021-06-22T00:00:00.000,0,5,202106222947,1/f: sub-divide existing classrooom into a smaller classroom and pastor's office.,0,18th,1,Av,022,2021-06-22T00:00:00.000,2,1449,3,3,Outer Richmond,otc alterations permit,8,2021-06-22T00:00:00.000,94121,1619301100182,wood frame (5),30000,378,church,0,"{coordinates:[-122.47694544323221,37.7809631475336],type:Point}",filed,wood frame (5)
1 family dwelling,5,2021-06-22T00:00:00.000,1,5,202106222914,replacing floor cver with vinyl floor cover on upper floor. approx 100 sqft.,7000,Rolph,11,St,023,2021-06-22T00:00:00.000,0,6420,2,2,Excelsior,otc alterations permit,8,2021-06-22T00:00:00.000,94112,1619258202783,wood frame (5),3500,814,1 family dwelling,1,"{coordinates:[-122.42972931335895,37.71129836435349],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-22T00:00:00.000,1,5,202106222943,replacing three (3) windows retrofit - non street facing,3315,48th,4,Av,032,2021-06-22T00:00:00.000,0,2167,2,2,Sunset/Parkside,otc alterations permit,8,2021-06-22T00:00:00.000,94116,1619297128307,wood frame (5),3315,2046,1 family dwelling,1,"{coordinates:[-122.50689793228437,37.74825347047794],type:Point}",issued,wood frame (5)
2 family dwelling,5,2021-06-30T00:00:00.000,2,5,202106222940,"4/f: new elevator, bathroom remodel. new electrical and plumbing work. new hatch skylight.",250000,Pacific,2,Av,031,2021-06-22T00:00:00.000,2,0588,4,4,Pacific Heights,otc alterations permit,8,2021-06-22T00:00:00.000,94115,1619294447313,wood frame (5),400000,2353,2 family dwelling,2,"{coordinates:[-122.43390422046247,37.79318167564138],type:Point}",issued,wood frame (5)
apartments,5,2021-06-22T00:00:00.000,6,5,202106222926,"common area: r&r approx.200 sq ft of dry rotted ship-lap woodsiding & underlying bldg paper.install new caulking & sheet metal flashing.prime & paint.on rear of bldg,not visible from street,provide wall insulation whenever wall cavity is exposed for wall separating conditioned & unconditioned spaces",18000,Presidio,2,Av,030,2021-06-22T00:00:00.000,0,1007,3,3,Presidio Heights,otc alterations permit,8,2021-06-22T00:00:00.000,94115,161927786913,wood frame (5),18000,322,apartments,6,"{coordinates:[-122.44679693180265,37.78879502960119],type:Point}",issued,wood frame (5)
apartments,5,2021-06-22T00:00:00.000,3,5,202106222937,"3356 demo damaged sheetrock and replace kitchen countertop, 3358 demo kitchen cabinets and counter. install new counters and cabinets, 3360 replace kitchen counter tops. repaid rear deck (in kind) replacing sliding doors in kind. no structural work.",146000,Market,8,St,006,2021-06-22T00:00:00.000,0,2717,3,3,Castro/Upper Market,otc alterations permit,8,2021-06-22T00:00:00.000,94114,1619290245970,wood frame (5),146000,3358,apartments,3,"{coordinates:[-122.44364145577444,37.75769927370375],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-22T00:00:00.000,1,5,202106222965,replace 3 footings at rear. replace with 3 concrete drilled piers with tie beams,0,Christopher,7,Dr,015,2021-06-22T00:00:00.000,2,2678,2,2,Inner Sunset,otc alterations permit,8,2021-06-22T00:00:00.000,94131,1619321141523,wood frame (5),40000,461,1 family dwelling,1,"{coordinates:[-122.45966144119167,37.75378639104319],type:Point}",filed,wood frame (5)
apartments,5,2021-06-22T00:00:00.000,3,5,202106222929,units b & c: kitchen & bath remodel for units b & c each. total two kitchens & two baths remodeling. no change to layout of walls & openings.,40000,17th,8,St,016,2021-06-22T00:00:00.000,0,3563,3,3,Castro/Upper Market,otc alterations permit,8,2021-06-22T00:00:00.000,94114,1619282158788,wood frame (5),20000,3942,apartments,3,"{coordinates:[-122.43390514777752,37.76282751004209],type:Point}",issued,wood frame (5)
apartments,5,2021-06-22T00:00:00.000,3,5,202106222996,"1. addition of 399 sq ft by way of conversion of part of garage to unit no 3335 at first floor.2. addition of 355 sq ft to unit no 3339 at third floor.3. remodeling of all three units at 3 floors for 3335, 3337, & 3339 divisadero st4. seismic strengthening of the house.",,Divisadero,2,St,004,2021-06-22T00:00:00.000,2,0930,3,3,Marina,additions alterations or repairs,3,2021-06-22T00:00:00.000,94123,1619356369855,wood frame (5),400000,3337,apartments,3,"{coordinates:[-122.443298575095,37.80046609848218],type:Point}",filed,wood frame (5)
2 family dwelling,5,2021-06-22T00:00:00.000,1,5,202106222930,to renewal expired building permit. comemmncement of work not started previously approved permit application no: 201501297032.,0,23rd,4,Av,018,2021-06-22T00:00:00.000,0,2473,3,3,Sunset/Parkside,otc alterations permit,8,2021-06-22T00:00:00.000,94116,1619283137428,wood frame (5),1,2689,2 family dwelling,1,"{coordinates:[-122.47988332415407,37.737490842077875],type:Point}",filed,wood frame (5)
1 family dwelling,5,2021-06-22T00:00:00.000,1,5,202106222925,remove unused decoratie brick chimney inside house. remodel bath in kind. no structural work,12500,22nd,8,St,039,2021-06-22T00:00:00.000,0,3629,3,3,Noe Valley,otc alterations permit,8,2021-06-22T00:00:00.000,94114,1619272163145,wood frame (5),12500,3577,1 family dwelling,1,"{coordinates:[-122.42726785733274,37.754761734221745],type:Point}",issued,wood frame (5)
apartments,,2021-06-22T00:00:00.000,131,1,202106222944,install and use of tower crane at project site- 2340 san jose ave. reference project application # 201807033677,,San Jose,11,Av,039,2021-06-22T00:00:00.000,2,6973,,9,Outer Mission,additions alterations or repairs,3,2021-06-22T00:00:00.000,94112,1619298511924,constr type 1,80000,2340,vacant lot,,"{coordinates:[-122.44727652135816,37.72034097932155],type:Point}",filed,
2 family dwelling,5,2021-06-28T00:00:00.000,2,5,202106222908,repair 20% of existing deck,20000,De Haro,10,St,024,2021-06-22T00:00:00.000,0,4095,3,3,Potrero Hill,otc alterations permit,8,2021-06-22T00:00:00.000,94107,1619251170287,wood frame (5),20000,946,2 family dwelling,2,"{coordinates:[-122.40125810072072,37.75797524252272],type:Point}",complete,wood frame (5)
apartments,5,2021-06-22T00:00:00.000,3,5,202106222904,"2 bathroom remodels in-kind. no structural no changes to walls or openingsbath (a) 53 sq ft flr 2 (n) soaking tub, (n) toilet, (n) vanity bath (b) 48 sq ft flr 2  (n) tub/shower (n) toilet, (n) vanity",28000,Dolores,8,St,094,2021-06-22T00:00:00.000,0,3566,3,3,Castro/Upper Market,otc alterations permit,8,2021-06-22T00:00:00.000,94114,1619247505391,wood frame (5),28000,388,apartments,3,"{coordinates:[-122.42663883761068,37.76325943794639],type:Point}",issued,wood frame (5)
